cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
8,400.000,175.000,5140.000,12.000,71,1,13.000
6,258.000,110.000,2962.000,13.500,71,1,18.000
4,140.000,72.000,2408.000,19.000,71,1,22.000
6,250.000,100.000,3282.000,15.000,71,1,19.000
6,250.000,88.000,3139.000,14.500,71,1,18.000
4,122.000,86.000,2220.000,14.000,71,1,23.000
4,116.000,90.000,2123.000,14.000,71,2,28.000
4,79.000,70.000,2074.000,19.500,71,2,30.000
4,88.000,76.000,2065.000,14.500,71,2,30.000
4,71.000,65.000,1773.000,19.000,71,3,31.000
4,72.000,69.000,1613.000,18.000,71,3,35.000
4,97.000,60.000,1834.000,19.000,71,2,27.000
4,91.000,70.000,1955.000,20.500,71,1,26.000
4,113.000,95.000,2278.000,15.500,72,3,24.000
4,97.500,80.000,2126.000,17.000,72,1,25.000
4,97.000,54.000,2254.000,23.500,72,2,23.000
4,140.000,90.000,2408.000,19.500,72,1,20.000
4,122.000,86.000,2226.000,16.500,72,1,21.000
8,350.000,165.000,4274.000,12.000,72,1,13.000
8,400.000,175.000,4385.000,12.000,72,1,14.000
8,318.000,150.000,4135.000,13.500,72,1,15.000
8,351.000,153.000,4129.000,13.000,72,1,14.000
8,304.000,150.000,3672.000,11.500,72,1,17.000
8,429.000,208.000,4633.000,11.000,72,1,11.000
8,350.000,155.000,4502.000,13.500,72,1,13.000
8,350.000,160.000,4456.000,13.500,72,1,12.000
8,400.000,190.000,4422.000,12.500,72,1,13.000
3,70.000,97.000,2330.000,13.500,72,3,19.000
8,304.000,150.000,3892.000,12.500,72,1,15.000
8,307.000,130.000,4098.000,14.000,72,1,13.000
8,302.000,140.000,4294.000,16.000,72,1,13.000
8,318.000,150.000,4077.000,14.000,72,1,14.000
4,121.000,112.000,2933.000,14.500,72,2,18.000
4,121.000,76.000,2511.000,18.000,72,2,22.000
4,120.000,87.000,2979.000,19.500,72,2,21.000
4,96.000,69.000,2189.000,18.000,72,2,26.000
4,122.000,86.000,2395.000,16.000,72,1,22.000
4,97.000,92.000,2288.000,17.000,72,3,28.000
4,120.000,97.000,2506.000,14.500,72,3,23.000
4,98.000,80.000,2164.000,15.000,72,1,28.000
4,97.000,88.000,2100.000,16.500,72,3,27.000
8,350.000,175.000,4100.000,13.000,73,1,13.000
8,304.000,150.000,3672.000,11.500,73,1,14.000
8,350.000,145.000,3988.000,13.000,73,1,13.000
8,302.000,137.000,4042.000,14.500,73,1,14.000
8,318.000,150.000,3777.000,12.500,73,1,15.000
8,429.000,198.000,4952.000,11.500,73,1,12.000
8,400.000,150.000,4464.000,12.000,73,1,13.000
8,351.000,158.000,4363.000,13.000,73,1,13.000
8,318.000,150.000,4237.000,14.500,73,1,14.000
8,440.000,215.000,4735.000,11.000,73,1,13.000
8,455.000,225.000,4951.000,11.000,73,1,12.000
8,360.000,175.000,3821.000,11.000,73,1,13.000
6,225.000,105.000,3121.000,16.500,73,1,18.000
6,250.000,100.000,3278.000,18.000,73,1,16.000
6,232.000,100.000,2945.000,16.000,73,1,18.000
6,250.000,88.000,3021.000,16.500,73,1,18.000
6,198.000,95.000,2904.000,16.000,73,1,23.000
4,97.000,46.000,1950.000,21.000,73,2,26.000
8,400.000,150.000,4997.000,14.000,73,1,11.000
8,400.000,167.000,4906.000,12.500,73,1,12.000
8,360.000,170.000,4654.000,13.000,73,1,13.000
8,350.000,180.000,4499.000,12.500,73,1,12.000
6,232.000,100.000,2789.000,15.000,73,1,18.000
4,97.000,88.000,2279.000,19.000,73,3,20.000
4,140.000,72.000,2401.000,19.500,73,1,21.000
4,108.000,94.000,2379.000,16.500,73,3,22.000
3,70.000,90.000,2124.000,13.500,73,3,18.000
4,122.000,85.000,2310.000,18.500,73,1,19.000
6,155.000,107.000,2472.000,14.000,73,1,21.000
4,98.000,90.000,2265.000,15.500,73,2,26.000
8,350.000,145.000,4082.000,13.000,73,1,15.000
8,400.000,230.000,4278.000,9.500,73,1,16.000
4,68.000,49.000,1867.000,19.500,73,2,29.000
4,116.000,75.000,2158.000,15.500,73,2,24.000
4,114.000,91.000,2582.000,14.000,73,2,20.000
4,121.000,112.000,2868.000,15.500,73,2,19.000
8,318.000,150.000,3399.000,11.000,73,1,15.000
4,121.000,110.000,2660.000,14.000,73,2,24.000
6,156.000,122.000,2807.000,13.500,73,3,20.000
8,350.000,180.000,3664.000,11.000,73,1,11.000
6,198.000,95.000,3102.000,16.500,74,1,20.000
6,232.000,100.000,2901.000,16.000,74,1,19.000
6,250.000,100.000,3336.000,17.000,74,1,15.000
4,79.000,67.000,1950.000,19.000,74,3,31.000
4,122.000,80.000,2451.000,16.500,74,1,26.000
4,71.000,65.000,1836.000,21.000,74,3,32.000
4,140.000,75.000,2542.000,17.000,74,1,25.000
6,250.000,100.000,3781.000,17.000,74,1,16.000
6,258.000,110.000,3632.000,18.000,74,1,16.000
6,225.000,105.000,3613.000,16.500,74,1,18.000
8,302.000,140.000,4141.000,14.000,74,1,16.000
8,350.000,150.000,4699.000,14.500,74,1,13.000
8,318.000,150.000,4457.000,13.500,74,1,14.000
8,302.000,140.000,4638.000,16.000,74,1,14.000
8,304.000,150.000,4257.000,15.500,74,1,14.000
4,98.000,83.000,2219.000,16.500,74,2,29.000
4,79.000,67.000,1963.000,15.500,74,2,26.000
4,97.000,78.000,2300.000,14.500,74,2,26.000
4,76.000,52.000,1649.000,16.500,74,3,31.000
4,83.000,61.000,2003.000,19.000,74,3,32.000
4,90.000,75.000,2125.000,14.500,74,1,28.000
4,90.000,75.000,2108.000,15.500,74,2,24.000
4,116.000,75.000,2246.000,14.000,74,2,26.000
4,120.000,97.000,2489.000,15.000,74,3,24.000
4,108.000,93.000,2391.000,15.500,74,3,26.000
4,79.000,67.000,2000.000,16.000,74,2,31.000
6,225.000,95.000,3264.000,16.000,75,1,19.000
6,250.000,105.000,3459.000,16.000,75,1,18.000
6,250.000,72.000,3432.000,21.000,75,1,15.000
6,250.000,72.000,3158.000,19.500,75,1,15.000
8,400.000,170.000,4668.000,11.500,75,1,16.000
8,350.000,145.000,4440.000,14.000,75,1,15.000
8,318.000,150.000,4498.000,14.500,75,1,16.000
8,351.000,148.000,4657.000,13.500,75,1,14.000
6,231.000,110.000,3907.000,21.000,75,1,17.000
6,250.000,105.000,3897.000,18.500,75,1,16.000
6,258.000,110.000,3730.000,19.000,75,1,15.000
6,225.000,95.000,3785.000,19.000,75,1,18.000
6,231.000,110.000,3039.000,15.000,75,1,21.000
8,262.000,110.000,3221.000,13.500,75,1,20.000
8,302.000,129.000,3169.000,12.000,75,1,13.000
4,97.000,75.000,2171.000,16.000,75,3,29.000
4,140.000,83.000,2639.000,17.000,75,1,23.000
6,232.000,100.000,2914.000,16.000,75,1,20.000
4,140.000,78.000,2592.000,18.500,75,1,23.000
4,134.000,96.000,2702.000,13.500,75,3,24.000
4,90.000,71.000,2223.000,16.500,75,2,25.000
4,119.000,97.000,2545.000,17.000,75,3,24.000
6,171.000,97.000,2984.000,14.500,75,1,18.000
4,90.000,70.000,1937.000,14.000,75,2,29.000
6,232.000,90.000,3211.000,17.000,75,1,19.000
4,115.000,95.000,2694.000,15.000,75,2,23.000
4,120.000,88.000,2957.000,17.000,75,2,23.000
4,121.000,98.000,2945.000,14.500,75,2,22.000
4,121.000,115.000,2671.000,13.500,75,2,25.000
4,91.000,53.000,1795.000,17.500,75,3,33.000
4,107.000,86.000,2464.000,15.500,76,2,28.000
4,116.000,81.000,2220.000,16.900,76,2,25.000
4,140.000,92.000,2572.000,14.900,76,1,25.000
4,98.000,79.000,2255.000,17.700,76,1,26.000
4,101.000,83.000,2202.000,15.300,76,2,27.000
8,305.000,140.000,4215.000,13.000,76,1,17.500
8,318.000,150.000,4190.000,13.000,76,1,16.000
8,304.000,120.000,3962.000,13.900,76,1,15.500
8,351.000,152.000,4215.000,12.800,76,1,14.500
6,225.000,100.000,3233.000,15.400,76,1,22.000
6,250.000,105.000,3353.000,14.500,76,1,22.000
6,200.000,81.000,3012.000,17.600,76,1,24.000
6,232.000,90.000,3085.000,17.600,76,1,22.500
4,85.000,52.000,2035.000,22.200,76,1,29.000
4,98.000,60.000,2164.000,22.100,76,1,24.500
4,90.000,70.000,1937.000,14.200,76,2,29.000
4,91.000,53.000,1795.000,17.400,76,3,33.000
6,225.000,100.000,3651.000,17.700,76,1,20.000
6,250.000,78.000,3574.000,21.000,76,1,18.000
6,250.000,110.000,3645.000,16.200,76,1,18.500
6,258.000,95.000,3193.000,17.800,76,1,17.500
4,97.000,71.000,1825.000,12.200,76,2,29.500
4,85.000,70.000,1990.000,17.000,76,3,32.000
4,97.000,75.000,2155.000,16.400,76,3,28.000
4,140.000,72.000,2565.000,13.600,76,1,26.500
4,130.000,102.000,3150.000,15.700,76,2,20.000
8,318.000,150.000,3940.000,13.200,76,1,13.000
4,120.000,88.000,3270.000,21.900,76,2,19.000
6,156.000,108.000,2930.000,15.500,76,3,19.000
6,168.000,120.000,3820.000,16.700,76,2,16.500
8,350.000,180.000,4380.000,12.100,76,1,16.500
8,350.000,145.000,4055.000,12.000,76,1,13.000
8,302.000,130.000,3870.000,15.000,76,1,13.000
8,318.000,150.000,3755.000,14.000,76,1,13.000
4,98.000,68.000,2045.000,18.500,77,3,31.500
4,111.000,80.000,2155.000,14.800,77,1,30.000
4,79.000,58.000,1825.000,18.600,77,2,36.000
4,122.000,96.000,2300.000,15.500,77,1,25.500
4,85.000,70.000,1945.000,16.800,77,3,33.500
8,305.000,145.000,3880.000,12.500,77,1,17.500
8,260.000,110.000,4060.000,19.000,77,1,17.000
8,318.000,145.000,4140.000,13.700,77,1,15.500
8,302.000,130.000,4295.000,14.900,77,1,15.000
6,250.000,110.000,3520.000,16.400,77,1,17.500
6,231.000,105.000,3425.000,16.900,77,1,20.500
6,225.000,100.000,3630.000,17.700,77,1,19.000
6,250.000,98.000,3525.000,19.000,77,1,18.500
8,400.000,180.000,4220.000,11.100,77,1,16.000
8,350.000,170.000,4165.000,11.400,77,1,15.500
8,400.000,190.000,4325.000,12.200,77,1,15.500
8,351.000,149.000,4335.000,14.500,77,1,16.000
4,97.000,78.000,1940.000,14.500,77,2,29.000
4,151.000,88.000,2740.000,16.000,77,1,24.500
4,97.000,75.000,2265.000,18.200,77,3,26.000
4,140.000,89.000,2755.000,15.800,77,1,25.500
4,98.000,63.000,2051.000,17.000,77,1,30.500
4,98.000,83.000,2075.000,15.900,77,1,33.500
4,97.000,67.000,1985.000,16.400,77,3,30.000
4,97.000,78.000,2190.000,14.100,77,2,30.500
6,146.000,97.000,2815.000,14.500,77,3,22.000
4,121.000,110.000,2600.000,12.800,77,2,21.500
3,80.000,110.000,2720.000,13.500,77,3,21.500
4,90.000,48.000,1985.000,21.500,78,2,43.100
4,98.000,66.000,1800.000,14.400,78,1,36.100
4,78.000,52.000,1985.000,19.400,78,3,32.800
4,85.000,70.000,2070.000,18.600,78,3,39.400
4,91.000,60.000,1800.000,16.400,78,3,36.100
8,260.000,110.000,3365.000,15.500,78,1,19.900
8,318.000,140.000,3735.000,13.200,78,1,19.400
8,302.000,139.000,3570.000,12.800,78,1,20.200
6,231.000,105.000,3535.000,19.200,78,1,19.200
6,200.000,95.000,3155.000,18.200,78,1,20.500
6,200.000,85.000,2965.000,15.800,78,1,20.200
4,140.000,88.000,2720.000,15.400,78,1,25.100
6,225.000,100.000,3430.000,17.200,78,1,20.500
6,232.000,90.000,3210.000,17.200,78,1,19.400
6,231.000,105.000,3380.000,15.800,78,1,20.600
6,200.000,85.000,3070.000,16.700,78,1,20.800
6,225.000,110.000,3620.000,18.700,78,1,18.600
6,258.000,120.000,3410.000,15.100,78,1,18.100
8,305.000,145.000,3425.000,13.200,78,1,19.200
6,231.000,165.000,3445.000,13.400,78,1,17.700
8,302.000,139.000,3205.000,11.200,78,1,18.100
8,318.000,140.000,4080.000,13.700,78,1,17.500
4,98.000,68.000,2155.000,16.500,78,1,30.000
4,134.000,95.000,2560.000,14.200,78,3,27.500
4,119.000,97.000,2300.000,14.700,78,3,27.200
4,105.000,75.000,2230.000,14.500,78,1,30.900
4,134.000,95.000,2515.000,14.800,78,3,21.100
4,156.000,105.000,2745.000,16.700,78,1,23.200
4,151.000,85.000,2855.000,17.600,78,1,23.800
4,119.000,97.000,2405.000,14.900,78,3,23.900
5,131.000,103.000,2830.000,15.900,78,2,20.300
6,163.000,125.000,3140.000,13.600,78,2,17.000
4,121.000,115.000,2795.000,15.700,78,2,21.600
6,163.000,133.000,3410.000,15.800,78,2,16.200
4,89.000,71.000,1990.000,14.900,78,2,31.500
4,98.000,68.000,2135.000,16.600,78,3,29.500
6,231.000,115.000,3245.000,15.400,79,1,21.500
6,200.000,85.000,2990.000,18.200,79,1,19.800
4,140.000,88.000,2890.000,17.300,79,1,22.300
6,232.000,90.000,3265.000,18.200,79,1,20.200
6,225.000,110.000,3360.000,16.600,79,1,20.600
8,305.000,130.000,3840.000,15.400,79,1,17.000
8,302.000,129.000,3725.000,13.400,79,1,17.600
8,351.000,138.000,3955.000,13.200,79,1,16.500
8,318.000,135.000,3830.000,15.200,79,1,18.200
8,350.000,155.000,4360.000,14.900,79,1,16.900
8,351.000,142.000,4054.000,14.300,79,1,15.500
8,267.000,125.000,3605.000,15.000,79,1,19.200
8,360.000,150.000,3940.000,13.000,79,1,18.500
4,89.000,71.000,1925.000,14.000,79,2,31.900
4,86.000,65.000,1975.000,15.200,79,3,34.100
4,98.000,80.000,1915.000,14.400,79,1,35.700
4,121.000,80.000,2670.000,15.000,79,1,27.400
5,183.000,77.000,3530.000,20.100,79,2,25.400
8,350.000,125.000,3900.000,17.400,79,1,23.000
4,141.000,71.000,3190.000,24.800,79,2,27.200
8,260.000,90.000,3420.000,22.200,79,1,23.900
4,105.000,70.000,2200.000,13.200,79,1,34.200
4,105.000,70.000,2150.000,14.900,79,1,34.500
4,85.000,65.000,2020.000,19.200,79,3,31.800
4,91.000,69.000,2130.000,14.700,79,2,37.300
4,151.000,90.000,2670.000,16.000,79,1,28.400
6,173.000,115.000,2595.000,11.300,79,1,28.800
6,173.000,115.000,2700.000,12.900,79,1,26.800
4,151.000,90.000,2556.000,13.200,79,1,33.500
4,98.000,76.000,2144.000,14.700,80,2,41.500
4,89.000,60.000,1968.000,18.800,80,3,38.100
4,98.000,70.000,2120.000,15.500,80,1,32.100
4,86.000,65.000,2019.000,16.400,80,3,37.200
4,151.000,90.000,2678.000,16.500,80,1,28.000
4,140.000,88.000,2870.000,18.100,80,1,26.400
4,151.000,90.000,3003.000,20.100,80,1,24.300
6,225.000,90.000,3381.000,18.700,80,1,19.100
4,97.000,78.000,2188.000,15.800,80,2,34.300
4,134.000,90.000,2711.000,15.500,80,3,29.800
4,120.000,75.000,2542.000,17.500,80,3,31.300
4,119.000,92.000,2434.000,15.000,80,3,37.000
4,108.000,75.000,2265.000,15.200,80,3,32.200
4,86.000,65.000,2110.000,17.900,80,3,46.600
4,156.000,105.000,2800.000,14.400,80,1,27.900
4,85.000,65.000,2110.000,19.200,80,3,40.800
4,90.000,48.000,2085.000,21.700,80,2,44.300
4,90.000,48.000,2335.000,23.700,80,2,43.400
5,121.000,67.000,2950.000,19.900,80,2,36.400
4,146.000,67.000,3250.000,21.800,80,2,30.000
4,91.000,67.000,1850.000,13.800,80,3,44.600
4,97.000,67.000,2145.000,18.000,80,3,33.800
4,89.000,62.000,1845.000,15.300,80,2,29.800
6,168.000,132.000,2910.000,11.400,80,3,32.700
3,70.000,100.000,2420.000,12.500,80,3,23.700
4,122.000,88.000,2500.000,15.100,80,2,35.000
4,107.000,72.000,2290.000,17.000,80,3,32.400
4,135.000,84.000,2490.000,15.700,81,1,27.200
4,151.000,84.000,2635.000,16.400,81,1,26.600
4,156.000,92.000,2620.000,14.400,81,1,25.800
6,173.000,110.000,2725.000,12.600,81,1,23.500
4,135.000,84.000,2385.000,12.900,81,1,30.000
4,79.000,58.000,1755.000,16.900,81,3,39.100
4,86.000,64.000,1875.000,16.400,81,1,39.000
4,81.000,60.000,1760.000,16.100,81,3,35.100
4,97.000,67.000,2065.000,17.800,81,3,32.300
4,85.000,65.000,1975.000,19.400,81,3,37.000
4,89.000,62.000,2050.000,17.300,81,3,37.700
4,91.000,68.000,1985.000,16.000,81,3,34.100
4,105.000,63.000,2215.000,14.900,81,1,34.700
4,98.000,65.000,2045.000,16.200,81,1,34.400
4,98.000,65.000,2380.000,20.700,81,1,29.900
4,105.000,74.000,2190.000,14.200,81,2,33.000
4,107.000,75.000,2210.000,14.400,81,3,33.700
4,108.000,75.000,2350.000,16.800,81,3,32.400
4,119.000,100.000,2615.000,14.800,81,3,32.900
4,120.000,74.000,2635.000,18.300,81,3,31.600
4,141.000,80.000,3230.000,20.400,81,2,28.100
6,145.000,76.000,3160.000,19.600,81,2,30.700
6,168.000,116.000,2900.000,12.600,81,3,25.400
6,146.000,120.000,2930.000,13.800,81,3,24.200
6,231.000,110.000,3415.000,15.800,81,1,22.400
8,350.000,105.000,3725.000,19.000,81,1,26.600
6,200.000,88.000,3060.000,17.100,81,1,20.200
6,225.000,85.000,3465.000,16.600,81,1,17.600
4,112.000,88.000,2605.000,19.600,82,1,28.000
4,112.000,88.000,2640.000,18.600,82,1,27.000
4,112.000,88.000,2395.000,18.000,82,1,34.000
4,112.000,85.000,2575.000,16.200,82,1,31.000
4,135.000,84.000,2525.000,16.000,82,1,29.000
4,151.000,90.000,2735.000,18.000,82,1,27.000
4,140.000,92.000,2865.000,16.400,82,1,24.000
4,105.000,74.000,1980.000,15.300,82,2,36.000
4,91.000,68.000,2025.000,18.200,82,3,37.000
4,91.000,68.000,1970.000,17.600,82,3,31.000
4,105.000,63.000,2125.000,14.700,82,1,38.000
4,98.000,70.000,2125.000,17.300,82,1,36.000
4,120.000,88.000,2160.000,14.500,82,3,36.000
4,107.000,75.000,2205.000,14.500,82,3,36.000
4,108.000,70.000,2245,16.900,82,3,34.000
4,91.000,67.000,1965.000,15.000,82,3,38.000
4,91.000,67.000,1965.000,15.700,82,3,32.000
4,91.000,67.000,1995.000,16.200,82,3,38.000
6,181.000,110.000,2945.000,16.400,82,1,25.000
6,262.000,85.000,3015.000,17.000,82,1,38.000
4,156.000,92.000,2585.000,14.500,82,1,26.000
6,232.000,112.000,2835,14.700,82,1,22.000
4,144.000,96.000,2665.000,13.900,82,3,32.000
4,135.000,84.000,2370.000,13.000,82,1,36.000
4,151.000,90.000,2950.000,17.300,82,1,27.000
4,140.000,86.000,2790.000,15.600,82,1,27.000
4,97.000,52.000,2130.000,24.600,82,2,44.000
4,135.000,84.000,2295.000,11.600,82,1,32.000
4,120.000,79.000,2625.000,18.600,82,1,28.000
4,119.000,82.000,2720.000,19.400,82,1,31.000
