Country Name,PPT,GDP,PRPE,OOCP,ESE,EPE,UNEMP,LEB,TDP
M.East&N.Africa(-hi),356262920,1.56815E+12,6.56,2285200,29813136,42118076,12.88,72.27,6
Mongolia,2909871,12226514746,0.05,10311,285597,239289,4.8,69.46,5
Mozambique,27216276,16961127046,6.41,677573,783558,5669591,22.6,55.03,7
Mauritania,3969625,5442297174,3.49,150634,178968,592249,31,63.02,6
Mauritius,1260934,12803445934,0.98,3539,133001,105447,7.7,74.19,6
Niger,19113728,8245312137,3.85,1233332,515075,2277021,5.1,61.46,6
Nepal,28174724,19811974852,10.22,173764,3163946,4401780,2.7,69.6,5
OECD members,1274981875,4.88998E+13,1.39,2779138,107619152,89315032,7.34,80.12,6
Oman,4236057,81035110533,0,5713,391099,233306,7.2,77.09,4
Other small states,28142985,4.43474E+11,11.51,511619,2021330,3619640,10.99,66.45,6
Pakistan,185044286,2.44361E+11,2.28,5611792,11286628,19431564,5.2,66.18,5
Peru,30973148,2.01021E+11,4.2,161695,2670847,3495614,4.2,74.53,6
Pre-demographic dividend,826352062,1.48329E+12,8.81,32635430,46566744,136351696,7.78,58.36,6
Russian Federation,143819569,2.05281E+12,0.38,220011,9061324,5725528,5.1,70.37,4
South Asia,1721152580,2.58463E+12,3.23,11322410,153192192,191118304,3.9,68.12,5
Saudi Arabia,30886545,7.53832E+11,0.96,120782,3419441,3737083,5.6,74.34,6
El Salvador,6107706,25054200000,6.06,40769,625060,777043,6.2,72.75,6
Serbia,7130576,44210806366,0.45,3975,548158,284754,22.2,75.53,4
Saharan Africa(-hi),974280491,1.76929E+12,8.18,34133988,56130096,158225632,7.97,58.56,6
Sub-Saharan Africa,974371891,1.77071E+12,8.18,34134436,56136952,158234432,7.97,58.56,6
Small states,37479355,5.20837E+11,9.96,579860,2841358,4699990,10.72,67.84,6
Slovenia,2061980,49530147016,0.78,2454,145179,111648,9.5,80.52,6
Sweden,9696110,5.73818E+11,0,1787,826694,757164,8,81.96,6
East Asia&Pacific(IDA),1995584007,1.27197E+13,0.75,6246218,137370112,165744688,4.59,74.03,6
Eur &C. Asia(IDA),451234370,4.47454E+12,0.77,1174909,39439656,23412538,7.83,72.4,4
Latin America(IDA),610149938,6.01989E+12,4.83,3533954,62970044,64228640,6.6,74.83,6
M. East&N. Africa(IDA),351968238,1.55528E+12,6.62,2252351,29103910,41675600,12.76,72.26,6
Timor-Leste,1212107,1399000000,17.75,3869,118935,245847,4.7,68.26,6
South Asia(IDA),1721152580,2.58463E+12,3.23,11322410,153192192,191118304,3.9,68.12,5
Saharan Africa(IDA),974371891,1.77071E+12,8.18,34134436,56136952,158234432,7.97,58.56,6
Ukraine,45362900,1.33503E+11,0.06,56464,2713646,1685030,7.7,71.19,4
Upper middle income,2573612474,2.20242E+13,2.55,8831078,201880784,206630624,5.9,74.44,6
West Bank and Gaza,4294682,12715599989,0.2,32849,709226,442476,26.2,72.9,4
World,7260780278,7.83771E+13,3.81,60943456,568015872,719054784,5.93,71.45,6
